168
0,(0, 0)
1,(0, 2)
2,(0, 4)
3,(0, 5)
4,(0, 5)
5,(0, 5)
6,(0, 6)
7,(1, 0)
8,(1, 0)
9,(1, 2)
10,(1, 2)
11,(1, 3)
12,(1, 3)
13,(1, 4)
14,(1, 4)
15,(1, 5)
16,(1, 5)
17,(1, 5)
18,(1, 9)
19,(2, 0)
20,(2, 0)
21,(2, 1)
22,(2, 2)
23,(2, 2)
24,(2, 2)
25,(2, 3)
26,(2, 3)
27,(2, 4)
28,(2, 5)
29,(2, 5)
30,(2, 5)
31,(2, 6)
32,(2, 6)
33,(2, 7)
34,(2, 7)
35,(2, 8)
36,(2, 8)
37,(2, 9)
38,(2, 9)
39,(3, 0)
40,(3, 0)
41,(3, 1)
42,(3, 1)
43,(3, 1)
44,(3, 2)
45,(3, 2)
46,(3, 2)
47,(3, 2)
48,(3, 3)
49,(3, 3)
50,(3, 5)
51,(3, 7)
52,(3, 8)
53,(3, 8)
54,(3, 9)
55,(3, 9)
56,(4, 0)
57,(4, 2)
58,(4, 2)
59,(4, 3)
60,(4, 3)
61,(4, 3)
62,(4, 4)
63,(4, 4)
64,(4, 5)
65,(4, 5)
66,(4, 5)
67,(4, 5)
68,(4, 6)
69,(4, 6)
70,(4, 6)
71,(4, 7)
72,(4, 7)
73,(4, 8)
74,(4, 8)
75,(4, 8)
76,(4, 9)
77,(4, 9)
78,(4, 9)
79,(5, 0)
80,(5, 0)
81,(5, 1)
82,(5, 2)
83,(5, 2)
84,(5, 2)
85,(5, 2)
86,(5, 3)
87,(5, 3)
88,(5, 3)
89,(5, 4)
90,(5, 4)
91,(5, 4)
92,(5, 5)
93,(5, 5)
94,(5, 6)
95,(5, 8)
96,(5, 8)
97,(5, 9)
98,(5, 9)
99,(6, 0)
100,(6, 0)
101,(6, 1)
102,(6, 1)
103,(6, 1)
104,(6, 2)
105,(6, 2)
106,(6, 2)
107,(6, 2)
108,(6, 3)
109,(6, 3)
110,(6, 4)
111,(6, 4)
112,(6, 4)
113,(6, 5)
114,(6, 5)
115,(6, 6)
116,(6, 6)
117,(6, 7)
118,(6, 7)
119,(6, 8)
120,(6, 8)
121,(6, 8)
122,(6, 8)
123,(6, 9)
124,(6, 9)
125,(6, 9)
126,(7, 1)
127,(7, 1)
128,(7, 2)
129,(7, 3)
130,(7, 3)
131,(7, 3)
132,(7, 4)
133,(7, 4)
134,(7, 4)
135,(7, 5)
136,(7, 5)
137,(7, 6)
138,(7, 7)
139,(7, 7)
140,(7, 8)
141,(7, 8)
142,(7, 9)
143,(8, 0)
144,(8, 1)
145,(8, 1)
146,(8, 1)
147,(8, 2)
148,(8, 2)
149,(8, 2)
150,(8, 3)
151,(8, 3)
152,(8, 5)
153,(8, 5)
154,(8, 6)
155,(8, 6)
156,(8, 6)
157,(8, 7)
158,(8, 7)
159,(8, 7)
160,(8, 8)
161,(9, 2)
162,(9, 6)
163,(9, 7)
164,(9, 7)
165,(9, 8)
166,(9, 8)
167,(9, 9)
