194
(0, 8)
(1, 10)
(2, 4)
(3, 6)
(3, 2)
(4, 17)
(5, 17)
(6, 5)
(7, 0)
(8, 20)
(9, 1)
(10, 23)
(11, 13)
(12, 26)
(13, 16)
(14, 12)
(15, 3)
(16, 3)
(17, 29)
(17, 14)
(18, 38)
(19, 7)
(20, 39)
(21, 42)
(22, 9)
(22, 25)
(23, 46)
(24, 46)
(25, 11)
(26, 24)
(27, 28)
(28, 31)
(29, 31)
(30, 15)
(30, 27)
(31, 33)
(32, 30)
(33, 36)
(34, 32)
(35, 34)
(36, 53)
(37, 18)
(38, 55)
(39, 41)
(40, 19)
(41, 45)
(42, 45)
(43, 21)
(43, 40)
(44, 22)
(44, 43)
(45, 49)
(45, 58)
(46, 58)
(47, 43)
(48, 47)
(49, 60)
(50, 66)
(51, 72)
(52, 35)
(53, 74)
(54, 37)
(55, 78)
(56, 80)
(57, 44)
(58, 84)
(59, 62)
(60, 62)
(61, 48)
(61, 87)
(62, 65)
(63, 61)
(64, 50)
(65, 69)
(66, 93)
(67, 63)
(68, 67)
(69, 71)
(69, 94)
(70, 67)
(71, 51)
(72, 70)
(73, 52)
(74, 77)
(74, 96)
(75, 52)
(76, 54)
(76, 75)
(77, 98)
(78, 98)
(79, 56)
(80, 99)
(81, 83)
(82, 57)
(83, 86)
(84, 86)
(84, 106)
(85, 57)
(85, 81)
(86, 59)
(86, 90)
(87, 85)
(88, 85)
(89, 92)
(89, 88)
(90, 111)
(91, 111)
(92, 64)
(93, 91)
(94, 68)
(95, 73)
(96, 121)
(97, 76)
(98, 125)
(99, 102)
(100, 79)
(101, 105)
(102, 105)
(103, 127)
(103, 100)
(104, 82)
(105, 82)
(105, 109)
(106, 128)
(106, 103)
(107, 103)
(108, 107)
(109, 130)
(110, 89)
(111, 113)
(111, 133)
(112, 89)
(113, 116)
(114, 112)
(115, 114)
(116, 137)
(117, 120)
(118, 139)
(119, 95)
(120, 124)
(121, 141)
(122, 118)
(123, 97)
(124, 97)
(125, 142)
(125, 122)
(126, 101)
(127, 145)
(128, 104)
(129, 132)
(130, 132)
(131, 108)
(131, 151)
(132, 110)
(132, 136)
(133, 131)
(134, 131)
(135, 134)
(136, 152)
(137, 115)
(138, 117)
(139, 159)
(140, 119)
(141, 160)
(142, 123)
(143, 144)
(144, 148)
(145, 148)
(146, 126)
(146, 143)
(147, 146)
(148, 150)
(148, 161)
(149, 146)
(150, 129)
(151, 149)
(152, 155)
(153, 135)
(154, 158)
(155, 158)
(156, 162)
(156, 153)
(157, 156)
(158, 138)
(158, 163)
(159, 156)
(160, 140)
(161, 147)
(162, 154)
(163, 165)
(164, 157)
(165, 167)
(166, 164)
(167, 166)
