50
178,4435,1
6264,1432,1
5129,2424,1
602,3780,1
4282,5118,1
3268,3756,1
4800,1150,1
6386,1517,1
6238,4501,1
3952,1296,1
6421,956,1
6426,1413,1
6159,542,1
5721,6160,1
694,127,1
1384,6007,1
6197,38,1
5023,6198,1
930,414,1
6532,3983,1
2119,737,1
16,649,1
695,3618,1
3141,1759,1
1566,662,1
2216,6537,1
4689,6530,1
2122,899,1
6473,6237,1
5172,2707,1
4967,6042,1
1383,6245,1
432,1762,1
6158,1389,1
6311,108,1
45,5974,1
5447,1344,1
3781,2708,1
3307,2817,1
466,95,1
5177,6273,1
805,2386,1
5334,4061,1
3769,790,1
0,4336,1
1611,6531,1
2204,4068,1
1656,1,1
1505,4124,1
4424,1471,1
