30
283,262,2,101,102,1
144,622,2,299,300,1
322,669,2,334,335,1
438,669,2,334,335,1
82,262,2,101,102,1
71,249,2,80,81,1
321,322,2,177,178,1
391,669,2,334,335,1
333,742,2,418,419,1
78,622,2,299,300,1
78,669,2,334,335,1
82,669,2,334,335,1
78,322,2,177,178,1
78,262,2,101,102,1
438,669,2,334,335,1
71,249,2,80,81,1
322,262,2,101,102,1
71,669,2,334,335,1
332,262,2,101,102,1
143,682,2,354,355,1
332,622,2,299,300,1
333,249,2,80,81,1
333,742,2,418,419,1
82,802,2,455,456,1
439,262,2,101,102,1
282,669,2,334,335,1
70,742,2,418,419,1
71,682,2,354,355,1
321,262,2,101,102,1
333,742,2,418,419,1
