30
357,1421,2,595,596,3
36,510,2,169,170,4
357,510,2,169,170,1
573,416,2,78,79,1
320,1421,2,595,596,4
357,526,2,186,187,4
321,526,2,186,187,2
543,1433,2,620,621,1
573,510,2,169,170,4
321,416,2,78,79,3
356,1421,2,595,596,1
131,416,2,78,79,3
185,946,2,322,323,2
356,526,2,186,187,3
36,1086,2,358,359,1
574,946,2,322,323,3
36,1421,2,595,596,2
573,510,2,169,170,2
321,1086,2,358,359,1
544,510,2,169,170,1
543,1086,2,358,359,1
37,946,2,322,323,1
36,946,2,322,323,1
320,510,2,169,170,1
543,526,2,186,187,2
544,416,2,78,79,2
573,1086,2,358,359,2
574,1421,2,595,596,3
320,510,2,169,170,1
320,416,2,78,79,1
